title,author,date,rating,comments
Siddartha,Hermann Hesse,March 2019,4.5,
Edgedancer,Brandon Sanderson,March 2019,3,The Stormlight Archive #2.5
Good Omens,"Terry Pratchett & Neil Gaiman",March 2019,5,
Dirk Gently's Holistic Detective Agency,Douglas Adams,March 2019,4,
Plötzlich in Palermo,André Klein,Jan - March 2019,,Dino lernt Deutsch #6
Life on the Mississippi,Mark Twain,Sept - March 2019,4,
The Hogfather,Terry Pratchett,Dec - January 2019,5,Discworld #20
The Last Battle,C.S. Lewis,December 2018,4,
Feet of Clay,Terry Pratchett,Nov - December 2018,4,Discworld #19
Ahoi aus Hamburg,André Klein,December 2018,,Dino lernt Deutsch #5
Momente in München 🎧,André Klein,November 2018,,Dino lernt Deutsch #4
Karneval in Köln 🎧,André Klein,October 2018,,Dino lernt Deutsch #3
Ferien in Frankfurt 🎧,André Klein,September 2018,,Dino lernt Deutsch #2
Café in Berlin 🎧,André Klein,September 2018,,Dino lernt Deutsch #1
Neverwhere 🎧,Neil Gaiman,July 2018,5,Part audiobook
The Silver Chair,C.S. Lewis,July 2018,4,
Maskerade,Terry Pratchett,July 2018,4.5,Discworld #18
Oathbringer 🎧,Brandon Sanderson,April - July 2018,5,"The Stormlight Archive #3, part audiobook"
The Voyage of the Dawn Treader,C.S. Lewis,April 2018,4,
Interesting Times,Terry Pratchett,March - April 2018,5,Discworld #17
Prince Caspian,C.S. Lewis,March 2018,4,
The Rise and Fall of the Third Reich,William L. Shirer,Sept - March 2018,5,
The Horse and His Boy,C.S. Lewis,February 2018,4,
"The Lion, the Witch and the Wardrobe",C.S. Lewis,January 2018,3.5,
The Magician's Nephew,C.S. Lewis,January 2018,3.5,
Auschwitz: A Doctor's Eyewitness Account,Miklós Nyiszli,September 2017,5,
Soul Music,Terry Pratchett,July - Sep 2017,4,Discworld #16
Men at Arms,Terry Pratchett,June - July 2017,4,Discworld #15
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,April - May 2017,5,
Gulliver's Travels,Jonathan Swift,April - May 2017,3.5,
Lords and Ladies,Terry Pratchett,March - April 2017,3.5,Discworld #14
Small Gods,Terry Pratchett,Feb - March 2017,5,Discworld #13
Witches Abroad,Terry Pratchett,February 2017,5,Discworld #12
Personal Recollections of Joan of Arc,Mark Twain,Nov - Jan 2017,4,
Orthodoxy,G.K. Chesterton,Oct - November 2016,3.5,
Pudd'nhead Wilson,Mark Twain,Sept - October 2016,4,
Reaper Man,Terry Pratchett,Aug - September 2016,4.5,Discworld #11
The Eyre Affair,Jasper Fforde,July - August 2016,U,Lost interest about 1/3 through
Moving Pictures,Terry Pratchett,June - July 2016,3.5,Discworld #10
Eric,Terry Pratchett,May - June 2016,4.5,Discworld #9
11/22/63,Stephen King,March - May 2016,4,
The Poisonwood Bible,Barbara Kingsolver,Jan - March 2016,5,
Guards! Guards!,Terry Pratchett,Dec - Jan 2016,5,Discworld #8
Pyramids,Terry Pratchett,December 2015,4.5,Discworld #7
Anathem,Neal Stephenson,Nov - December 2015,4.5,
Wyrd Sisters,Terry Pratchett,November 2015,4,Discworld #6
Sphere,Michael Crichton,Oct - November 2015,5,
Sourcery,Terry Pratchett,October 2015,4,Discworld #5
Words of Radiance,Brandon Sanderson,October 2015,5,The Stormlight Archive #2
Mort,Terry Pratchett,Sep - October 2015,5,Discworld #4
The Way of Kings,Brandon Sanderson,September 2015,5,The Stormlight Archive #1
Equal Rites,Terry Pratchett,September 2015,4,Discworld #3
The Light Fantastic,Terry Pratchett,August 2015,4.5,Discworld #2
The Man Who Mistook His Wife for a Hat,Oliver Sacks,"Fall 2014, Aug 2015",4,"read parts of for cognitive psych class, finished later"
The Color of Magic,Terry Pratchett,July - August 2015,5,Discworld #1
The Silmarillion,J.R.R. Tolkien,June - July 2015,4,
Breakfast of Champions,Kurt Vonnegut,June 2015,4,
A Midsummer Night's Dream,William Shakespeare,June 2015,4,
Brave New World,Aldous Huxley,May - June 2015,5,
The Handmaid's Tale,Margaret Atwood,April 2015,4.5,
The Memoirs of Sherlock Holmes,Arthur Conan Doyle,"Feb 2014, April 2015",4.5,did not read all at once
Harry Potter and the Methods of Rationality,Eliezer Yudkowsky,Jan - March 2015,5,"Fantastic fanfiction, highly recommend"
Cat's Cradle,Kurt Vonnegut,Dec 2014,5,
Surprised by Joy,C.S. Lewis,Fall 2014,4.5,partial autobiography
Hitchhiker's Guide to the Galaxy 🎧,Douglas Adams,Summer 2014,5,"Original radio show, not books"
Oryx and Crake,Margaret Atwood,Spring 2014,4,
Unstuck,Arnie Cole,Feb - April 2014,,
The Hound of the Baskervilles,Arthur Conan Doyle,Feb 2014,5,
The Adventures of Sherlock Holmes,Arthur Conan Doyle,Jan - Feb 2014,5,
The Sign of Four,Arthur Conan Doyle,Jan - Feb 2014,5,
A Study in Scarlet,Arthur Conan Doyle,Jan 2014,5,
"Bad Christian, Great Savior",Matt Carter,Jan 2014,4.5,"written by guys from one of my favorite bands, Emery"
Don't Waste Your Life,John Piper,Winter 2013,.5,
Man's Search for Meaning,Viktor Frankl,Fall 2013,4,for my psych 101 class
Connecting,Larry Crab,Sep - Oct 2013,,
Jesus is ____,Judah Smith,Aug - Sep 2013,,
The Ragamuffin Gospel,Brennan Manning,Summer 2013,,
Forgotten God,Francis Chan,Summer 2013,,
Perelandra,C.S. Lewis,Spring - Summer 2013,4,
The Wheel of Time (entire series),Robert Jordan,2007 - 2013,5,"started as freshman in high schol, finished after sophomore in college"
Out of the silent planet,C.S. Lewis,2013,4,
Saturday Nothing,Josh Martin,Spring 2013,,
Radical,David Platt,Spring 2013,,
Mere Christianity,C.S. Lewis,Winter 2012,.5,
The Adventures of Tom Sawyer,Mark Twain,Summer 2012,4,
The Hunger Games,Suzanne Collins,Spring 2012,3.5,
The Problem of Pain,C.S. Lewis,April 2012,.5,A friend passed away while I was reading this book
A Grief Observed,C.S. Lewis,Winter - Spring 2012,5,recounting his wife's death
The Great Divorce,C.S. Lewis,Winter 2012,.75,
The Screwtape Letters,C.S. Lewis,Winter 2011-2012,,
Catch 22,Joseph Heller,Winter 2011-2012,5,
The Cellist of Sarajevo,Steven Galloway,Winter 2011,3.5,read for freshman core class
The Road,Cormac McCarthy,Fall 2011,3,read for freshman core class
Copenhagen,Michael Frayn,Fall 2011,3.5,read for freshman core class
The Photographer,Emmanuel Guibert,Fall 2011,3.5,read for freshman core class
The Red Pony,John Steinbeck,Summer 2011,3.75,
Slaughterhouse-Five,Kurt Vonnegut,Spring 2011,5,
Nineteen-Eighty four,George Orwell,Spring 2011,5,
Animal Farm,George Orwell,Spring 2011,4,read for senior english class
Of Mice and Men,John Steinbeck,Spring 2010,4.5,read for junior english class
Huckleberry Finn,Mark Twain,Spring 2010,5,read for junior english class
Shane,Jack Schaefer,Spring 2009,3.5!,read for sophomore english class
Julius Caesar,William Shakespeare,Spring 2009,4.5,read for sophomore english class
"Cry, the Beloved Country",Alan Paton,Spring 2009,3.75,read for sophomore english class
The Red Badge of Courage,Stephen Crane,Winter 2009,3,read for sophomore english class
The Ballad of the Sad Café,Carson McCullers,Winter 2008,2.5,read for sophomore english class
Their Eyes Were Watching God,Zora Neale Hurston,Winter 2008-2009,3,read for sophomore english class
Romeo and Juliet,William Shakespeare,Spring 2008,4.5,read for freshman english class
The Pearl,John Steinbeck,Early 2008,3!,read for freshman english class
Flowers for Algernon,Daniel Keyes,Fall - Winter 2007,3!,might like it more now than I did at the time
The Lord of the Rings (entire trilogy),J.R.R Tolkien,Fall 2007,5,my second time through
The Long Dark Tea-Time of the Soul,Douglas Adams,Summer 2007,4!,
Harry Potter (entire series),J.K. Rowling,2003 - 2007,4,
The Hobbit,J.R.R Tolkien,Summer 2007,5,
Night,Elie Wiesel,Spring 2007,4!,read for 8th grade class
Tuesdays With Morrie,Mitch Albom,Spring 2007,3!,read for 8th grade class
Jurassic Park,Michael Crichton,2006,5,
Brian's Winter,Gary Paulsen,Middle School,5!,
Hatchet,Gary Paulsen,Middle School,5!,
"Redwall Series (many, but not all)",Brian Jacques,Elementary to Middle School,4.5,
The Outsiders,S.E. Hinton,Spring 2006,2.5!,read for 7th grade class
The Chronicles of Narnia (entire series),C.S. Lewis,2004 - 2006,5!,
Timeline,Michael Crichton,2005,5,
"A Series of Unfortunate Events (all except the last few)",Lemony Snicket,2004-2005,4!,
Jaguar,Roland Smith,6th grade,,read for 6th grade class
Because of Winn Dixie,Kate DiCamillo,6th grade,4!,
Walk 2 Moons,Sharon Creech,6th grade,2.5!,read for 6th grade class
The House of the Scorpion,Nancy Farmer,6th grade,2!,read to us in 6th grade class
Eragon,Christopher Paolini,Spring 2005,3.5!,read to us in 6th grade class
Maniac Magee,Jerry Spinelli,5th Grade?,4!,
How to Eat Fried Worms,Thomas Rockwell,5th Grade,4!,
The Indian in the Cupboard,Lynne Reid Banks,Elementary School,4.5!,
"Hank the Cowdog (many, but not all)",John R. Erickson,Elementary School,4.5!,
"Hardy Boys (many, but not all)",Franklin W. Dixon,Elementary School,5!,
The Lord of the Rings (entire trilogy),J.R.R Tolkien,2001-2003,5,my dad read most of the series aloud to me
Matilda,Roald Dahl,Elementary School,4.5!,
Boy,Roald Dahl,4th grade,,
James and the Giant Peach,Roald Dahl,Elementary School,5!,
Charlie and the Chocolate Factory,Roald Dahl,Elementary School,4.5!,
The BFG,Roald Dahl,Elementary School,5!,
Encyclopedia Brown,Donald J. Sobol,Elementary School,5!,
Stuart Little,E.B. White,3rd grade,4.5!,
